Energy Usage Information
"For location: 5221 FARAGO AVE TEMPLE CITY CA 91780"

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2022-06-27 00:00:00  for 4 days"
Date,Energy Consumption time Period Start,Energy Consumption time Period End,Delivered,Received
"06/27/2022 ","06/27/2022 12:00AM ","06/27/2022 12:15AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 12:15AM ","06/27/2022 12:30AM ","0.090","0.000"
"06/27/2022 ","06/27/2022 12:30AM ","06/27/2022 12:45AM ","0.120","0.000"
"06/27/2022 ","06/27/2022 12:45AM ","06/27/2022 01:00AM ","0.120","0.000"
"06/27/2022 ","06/27/2022 01:00AM ","06/27/2022 01:15AM ","0.780","0.000"
"06/27/2022 ","06/27/2022 01:15AM ","06/27/2022 01:30AM ","0.240","0.000"
"06/27/2022 ","06/27/2022 01:30AM ","06/27/2022 01:45AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 01:45AM ","06/27/2022 02:00AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 02:00AM ","06/27/2022 02:15AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 02:15AM ","06/27/2022 02:30AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 02:30AM ","06/27/2022 02:45AM ","0.050","0.000"
"06/27/2022 ","06/27/2022 02:45AM ","06/27/2022 03:00AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 03:00AM ","06/27/2022 03:15AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 03:15AM ","06/27/2022 03:30AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 03:30AM ","06/27/2022 03:45AM ","0.060","0.000"
"06/27/2022 ","06/27/2022 03:45AM ","06/27/2022 04:00AM ","0.050","0.000"
"06/27/2022 ","06/27/2022 04:00AM ","06/27/2022 04:15AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 04:15AM ","06/27/2022 04:30AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 04:30AM ","06/27/2022 04:45AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 04:45AM ","06/27/2022 05:00AM ","0.050","0.000"
"06/27/2022 ","06/27/2022 05:00AM ","06/27/2022 05:15AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 05:15AM ","06/27/2022 05:30AM ","0.080","0.000"
"06/27/2022 ","06/27/2022 05:30AM ","06/27/2022 05:45AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 05:45AM ","06/27/2022 06:00AM ","0.050","0.000"
"06/27/2022 ","06/27/2022 06:00AM ","06/27/2022 06:15AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 06:15AM ","06/27/2022 06:30AM ","0.090","0.000"
"06/27/2022 ","06/27/2022 06:30AM ","06/27/2022 06:45AM ","0.090","0.000"
"06/27/2022 ","06/27/2022 06:45AM ","06/27/2022 07:00AM ","0.060","0.000"
"06/27/2022 ","06/27/2022 07:00AM ","06/27/2022 07:15AM ","0.040","0.000"
"06/27/2022 ","06/27/2022 07:15AM ","06/27/2022 07:30AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 07:30AM ","06/27/2022 07:45AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 07:45AM ","06/27/2022 08:00AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 08:00AM ","06/27/2022 08:15AM ","0.060","0.000"
"06/27/2022 ","06/27/2022 08:15AM ","06/27/2022 08:30AM ","0.050","0.000"
"06/27/2022 ","06/27/2022 08:30AM ","06/27/2022 08:45AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 08:45AM ","06/27/2022 09:00AM ","0.070","0.000"
"06/27/2022 ","06/27/2022 09:00AM ","06/27/2022 09:15AM ","0.200","0.000"
"06/27/2022 ","06/27/2022 09:15AM ","06/27/2022 09:30AM ","0.640","0.000"
"06/27/2022 ","06/27/2022 09:30AM ","06/27/2022 09:45AM ","0.880","0.000"
"06/27/2022 ","06/27/2022 09:45AM ","06/27/2022 10:00AM ","0.210","0.000"
